field,label,type_code,type_name,storage,pointer_file,has_description,has_input_transform,last_edited,help_prompt
0.01,NAME,F,FREE TEXT,0;1,,True,True,3060919,"Enter name in 'LAST,FIRST MIDDLE SUFFIX' format, must be 3-30 characters in length."
0.02,SEX,S,SET OF CODES,0;2,,True,True,3060624,"Enter 'M' for MALE, or 'F' for FEMALE."
0.024,SELF IDENTIFIED GENDER,S,SET OF CODES,.24;4,,True,True,3230103,Select the code that specifies the patient's preferred gender.
0.025,SEXUAL ORIENTATION,P,POINTER,.025;0,,True,False,,
0.0251,SEXUAL ORIENTATION FREE TEXT,F,FREE TEXT,.241;1,,True,True,3231017,Enter the free text value (3-255 characters) of the specified 'Other' Sexual Orientation associated with the patient.
0.03,DATE OF BIRTH,D,DATE/TIME,0;3,,True,True,3210308,Enter the patient's DATE OF BIRTH which must be later than 12/31/1870.  DATE OF BIRTH cannot be a date after the benefic
0.033,AGE,C,COMPUTED, ; ,,True,True,2980306,Computed field which determines patients age based on DOB and todays date.
0.05,MARITAL STATUS,P,POINTER,0;5,11.0,True,True,3060802,Select from the available listing this patients current marital status.
0.06,RACE,P,POINTER,0;6,10.0,True,True,3030311,This field is for historical purposes only.  Please do not enter data into it.
0.07,OCCUPATION,F,FREE TEXT,0;7,,True,True,2990921,Enter the patient's occupation [1-30 characters].
0.08,RELIGIOUS PREFERENCE,P,POINTER,0;8,13.0,True,True,3220626,Select from the available list this patients religious preference.
0.081,DUPLICATE STATUS,S,SET OF CODES,0;18,,True,True,2870325,
0.082,PATIENT MERGED TO,P,POINTER,0;19,2.0,True,True,2870325,
0.083,CHECK FOR DUPLICATE,S,SET OF CODES,0;20,,True,True,2870325,
0.09,SOCIAL SECURITY NUMBER,F,FREE TEXT,0;9,,True,True,3051006,Enter 9-digit SSN or 'P' for pseudo-SSN.
0.0901,TERMINAL DIGIT OF SSN,C,COMPUTED, ; ,,True,True,2951107,Computed field which determines last four digits of SSN.
0.0905,1U4N,C,COMPUTED, ; ,,True,True,,"Computed field which determines first characters of last name and last four digits of SSN, i.e., 'L1234'."
0.0906,PSEUDO SSN REASON,S,SET OF CODES,SSN;1,,True,True,3070330,
0.0907,SSN VERIFICATION STATUS,S,SET OF CODES,SSN;2,,True,True,3060406,
0.091,REMARKS,F,FREE TEXT,0;10,,True,True,,Enter remarks concerning this patient for general display [3-60 characters].
0.092,PLACE OF BIRTH [CITY],F,FREE TEXT,0;11,,True,True,3181030,Enter city in which patient was born (or foreign country) [2-20 characters].
0.093,PLACE OF BIRTH [STATE],P,POINTER,0;12,5.0,True,True,3181030,If born in US enter the state in which this patient was born.
0.0931,PLACE OF BIRTH COUNTRY,P,POINTER,.24;6,779.004,True,True,3170501,Select the COUNTRY CODE from the list that identifies the country where the individual was born.
0.0932,PLACE OF BIRTH PROVINCE,F,FREE TEXT,.24;7,,True,True,3170501,Enter the Province (1-20 characters) where the individual was born.
